codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio;codigo_postal;tipo;limite_norte;limite_sur;limite_este;limite_oeste;longitud_centroide;latitud_centroide;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal
73;TOLIMA;73217;COYAIMA;735,020;Urbano;CL 0;LIMITE URBANO;LIMITE URBANO;KR 1;-75-1941050230269;3-79845220310585;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD SUBA;111,156;Urbano;AC  170;CL  138;AU NORTE;KR  92;-74-0653432125149;4-74323155644936;Altos de Suba- Atenas- Britalia- Cantagallo- Casa Blanca Suba I- Casablanca Suba- Delmonte- El Plan- Escuela de Carabineros- Gilmar- Granada Norte- Iragua- Mazuren- Portales del Norte- Prado Pinzón- San José V Sector- Santa Helena- Suba Cerros- Suba Urban;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76275;FLORIDA;763,567;Rural;MUNICIPIO PRADERA;MUNICIPIO MIRANDA;VÍA MIRANDA-PRADERA;MUNCIPIO CANDELARIA;-76-2791193334003;3-3179638778999;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52399;LA UNION;521,527;Rural;VÍA BERRU.-LA UNIÓN-SAN PABLO;MPIO. SAN PEDRO DE CARTAGO;MUNICIPIO COLÓN  Y BELÉN;MUNICIPIO SAN LORENZO;-77-1176099916431;1-5827621578922;Sin Informacion de Barrios;Buenos Aires- El Arenal-  El Salado-  El Tauso-  La Chorrera-  La Cuesta-  La Estancia-  Los Molinos-  Palacio Alto-  Peña Negra-  San Carlos-  Yanangona
15;BOYACA;15476;MOTAVITA;154,080;Urbano;KR 7;LIMITE URBANO;CL 5;CL 0;-73-3677104358503;5-57752466666125;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05172;CHIGORODO;57,410;Urbano;LIMITE URBANO;LIMITE URBANO;CL 98;LIMOITE URBANO;-76-6772283895564;7-66589488354447;Sin Informacion de Barrios;Sin Informacion de Veredas
19;CAUCA;19698;SANTANDER DE QUILICHAO;191,048;Rural;VÍA DOMINGUI.-PALOMERA Y M. CALOTO;MUNICIPIO CALDONO;MUNICIPIO JAMBALÓ;VÍA DOMINGUILLO-EL TURCO;-76-446070901758;2-91094091242672;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD LOS MARTIRES;111,411;Urbano;AC  26;AC  1;AK CARACAS - AK 14;AK  30;-74-0879343449498;4-60710598524383;Colseguros- Eduardo Santos- El Listón- El Progreso- El Vergel- Florida- La Estanzuela- La Favorita- La Pepita- La Sabana- Paloquemao- Ricaurte- Samper Mendoza- San Victorino- Santa Fé- Santa Isabel- Santa Isabel Sur- Usatama- Veraguas- Voto Nacional;Sin Informacion de Veredas
18;CAQUETA;18785;SOLITA;185,078;Rural;MUNICIPIO VALPARAISO;MPIO. PUERTO GUZMÁN;MUNICIPIO VALPARAISO;RÍO SOLITA;-75-5758374577347;0-901125442948455;Sin Informacion de Barrios;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76828;TRUJILLO;761,028;Rural;MUNICIPIO BOLÍVAR;MPIO. RIOFRÍO Y ANDALUCÍA;M. BOLÍ.- BUGALAGRAN. Y ANDALUCÍA;VÍA RIOFRÍO-NARANJAL;-76-2845441517136;4-2457697747767;Sin Informacion de Barrios;Sin Informacion de Veredas
54;NORTE DE SANTANDER;54001;CUCUTA;540,001;Urbano;CL 20  Y  LIMITE URBANO;AK LOS LIBERTAD;LIMITE URBANO;AK  AEROPUERTO Y LIM URB;-72-4961311986865;7-93375538887011;Aeropuerto- Alcalá- Brisas del Porvenir- El Porvenir- El Salado- La ?nsula- Niza- Panamericano- Santa Helena- Tasajero- Toledo Plata- Virgilio Barco;Sin Informacion de Veredas
25;CUNDINAMARCA;25758;SOPO;251,008;Rural;RÍO TEUSACÁ;MUNICIPIO LA CALERA;RÍO TEUSACÁ;MUNICIPIO CHIA Y CAJICA;-73-9806724274945;4-87241678307618;Sin Informacion de Barrios;APOSENTOS- CENTRO ALTO-  GRATAMIRA-  MEUSA-  RIO GRANDE-  SALITRE-  SANTA ISABEL
20;CESAR;20060;BOSCONIA;201,020;Urbano;CL 29;CL 1;KR 10 E;LIMITE URBANO;-73-8880108785885;9-97433800596286;16 de Julio- 18 de Febrero- Armero- Brisas del Cesár- El Carmen- El Recreo- Enrique Aarón- Estación- Instituto- Jorge E Gaitán- Juan Bosco- La Unión- Loma Fresca- Los Ángeles- Los Almendros- Nueva Bosconia- Paraíso- San Francisco de Asís- San Martín- San;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76736;SEVILLA;762,538;Rural;VÍA CAICEDONIA-PAILA ARRIBA;MUNICIPIO CHAPARRAL;M. CAICEDO.- GENOVA Y RONCESVA.;M. TULUÁ Y BUGALAGRANDE;-75-8604363360793;4-12469884649391;Sin Informacion de Barrios;Bolivia- Quince Letras-  Samaria
15;BOYACA;15537;PAZ DE RIO;150,680;Urbano;CL 11;CL 1;LIMITE URBANO;LIMITE URBANO;-72-7486120660545;5-98749161363611;Sin Informacion de Barrios;Sin Informacion de Veredas
85;CASANARE;85136;LA SALINA;851,017;Rural;MUNICIPIO EL COCUY;MUNICIPIO SÁCAMA;MUNICIPIO TAME;MUNICIPIO CHITA;-72-3460610237065;6-17843687965313;Sin Informacion de Barrios;Arenal- Centro-  Colorados
68;SANTANDER;68745;SIMACOTA;683,569;Rural;VÍA PTO. BOYACA-LA FORTUNA;MPIO. VELEZ Y RÍO (PERMANENTE);M. SAN VI. DEL CHU. Y EL CAR. DE CHU.;MPIO. PUERTO PARRA;-73-7785677137412;6-6869086856201;Sin Informacion de Barrios;Agua Blanca Alta- Caño Limon-  Cruz Roja-  Danto Bajo-  El Diviso- La Colorada-  Guayabal-  Santa Ana
52;NARIÑO;52378;LA CRUZ;521,020;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-76-9712756413114;1-60058148364794;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52835;SAN ANDRES DE TUMACO;528,529;Rural;RIO ROSARIO;RIO SABALETA;RELIEVE MONTAÑOSO;VIA TUMACO - BARBACOA;-78-587429585159;1-53129782570363;Sin Informacion de Barrios;Sin Informacion de Veredas
13;BOLIVAR;13001;CARTAGENA;130,011;Urbano;TV  53;CL  15;CL  31;DG  30;-75-4829108061723;10-3845231359896;Alameda La Victoria- Almirante Colon- Blas de Lezo- Ciudadela 11 de Noviembre- El Carmelo- El Milagro- El Socorro- La Central- Los Caracoles- Los Corales- San Fernando- San Pedro- Santa Mónica- Urbanización Simón Bolívar;Sin Informacion de Veredas
5;ANTIOQUIA;05361;ITUANGO;52,070;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-75-7641957516723;7-17156631371165;Sin Informacion de Barrios;Sin Informacion de Veredas
73;TOLIMA;73270;FALAN;732,007;Rural;QUEBRADA GRANDE;M. ARMERO  Y VILLAHERMOSA;MUNICIPIO ARMERO;M. PALOCABILDO Y CASABIANCA;-74-9693349397438;5-05054706395555;Sin Informacion de Barrios;Buenos Aires- Campo Alegre-  El Cucharo-  El Real-  El Socorro-  Filomena-  La Ceiba-  La Cumba-  La Esperanza-  La Libertad-  La María-  La Noria-  Lajas-  Los Pinos-  Paraíso-  Paujil-  Pavas-  Piedras Negras-  Pirsa-  Pompona-  San Antonio-  Santa Rosa
27;CHOCO;27001;QUIBDO;270,002;Urbano;CL 30 Y 31;RIO CABI Y LIMITE URBANO;LIMITE URBANO;RIO ATRATO;-76-6506968320616;5-68418033987746;Sin Informacion de Barrios;Sin Informacion de Veredas
8;ATLANTICO;08758;SOLEDAD;83,006;Urbano;DG 56 Y CL 37;M. MALAMBO;AC BOYACA Y CL 10;AC MURILLO Y M. MALAN.;-74-7839637509313;10-8896922839274;El Esfuerzo- San Vicente I- San Vicente II- San Vicente III- Urbanización Villa María- Villa del Rey II- Villa Gladys- Villa Sol- Villas del Rey;Sin Informacion de Veredas
52;NARIÑO;52385;LA LLANADA;526,501;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-77-5799516275552;1-4728911486157;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15599;RAMIRIQUI;153,407;Rural;M. SORACA Y BOYACA;QUEBRADA UNICA;MUNIPIO CIENEGA;MUICIPIO JENESANO;-73-3315296542349;5-38495533666918;Sin Informacion de Barrios;Caicedos- Dulcetes-  Fernandez-  Fragua-  Gachacavita-  Hervideros-  Pabellon-  Palenque-  Pantano Largo-  Pulidos-  Romasal-  Santana-  Santuario-  Soleres
23;CORDOBA;23417;LORICA;231,037;Rural;VÍA LOS MONOS-COTOCA ARRIBA;MUNICIPIO COTORRA;VÍA COTORRA-LOS MONOS;RÍO SINÚ;-75-8135567944685;9-08928192742155;Sin Informacion de Barrios;Sin Informacion de Veredas
50;META;50577;PUERTO LLERAS;503,007;Rural;MUNICIPIO SAN MARTÍN;MUNICIPIO PUERTO RICO;MUNICIPIO MAPIRIPÁN;RÍO ARIARI;-73-155510632149;3-22027943013069;Sin Informacion de Barrios;Agua Linda- Alto Casibare-  Argentina-  Brisas del Manacacias-  Canada-  Candilejas-  Casibare-  Chinata-  El Cairo-  El Santuario-  Esmeralda-  Esperanza-  Fundo Nuevo-  Gabanes-  Jose Maria-  Laureles-  Llano Grande-  Morichito-  Palmeras-  Puerto llera
20;CESAR;20770;SAN MARTIN;205,057;Rural;MPIO. RÍO DE ORO Y OCAÑA;MUNICIPIO SAN ALBERTO;MPIO. OCAÑA Y ABREGO;VÍA SAN ALBERTO-AGUACHICA;-73-4271701804846;8-0093553088185;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15806;TIBASOSA;152,267;Rural;VÍA PAIPA-SOGAMOSO;MUNICIPIO FIRAVITOBA;MUNICIPIO SOGAMOSO;MUNICIPIO PAIPA;-73-0209809116549;5-73108205676579;La Isla;Ayalas- Ayalas-  Cabecera Municipal-  Cabecera Municipal-  Caños-  Centro-  Centro-  Chital-  Espartal-  Espartal-  Estrillal-  Pantano de Vargas-  Resguardo-  Resguardo-  Varguitas
18;CAQUETA;18753;SAN VICENTE DEL CAGUAN;182,010;Urbano;CL 10 BIS;CL 5 S;KR 1;KR 8;-74-7719228611077;2-11332729206265;Sin Informacion de Barrios;Sin Informacion de Veredas
66;RISARALDA;66318;GUATICA;664,018;Rural;MUNICIPIO RIOSUCIO;MPIO. BELÉN DE UMBRIA;RÍO FRÍO- DE ORO Y (PERMANENTE);MUNICIPIO MISTRATÓ;-75-8298741004945;5-32192498153495;Sin Informacion de Barrios;Sin Informacion de Veredas
19;CAUCA;19585;PURACE;193,008;Rural;MPIO. POPAYÁN Y TOTORÓ;M. ISNOS Y SALADOBLANCO;CERRO DE PAN DE AZUCAR Y RÍO (PER.);QUEBRADA ANAMBIO;-76-3776119899219;2-35336055452939;Sin Informacion de Barrios;Sin Informacion de Veredas
47;MAGDALENA;47258;EL PIÑON;476,001;Urbano;CL 0;LIMITE URBANO;KR 9;A SALAMINA;-74-8231982488651;10-4031095245695;Sin Informacion de Barrios;Sin Informacion de Veredas
68;SANTANDER;68855;VALLE DE SAN JOSE;682,577;Rural;MUNICIPIO PARAMO;MUNICIPIO OCAMONTE;RÍO (PERMANENTE);MUNICIPIO PARAMO;-73-135655754339;6-42612822027729;Sin Informacion de Barrios;San Isidro
85;CASANARE;85139;MANI;854,018;Rural;MPIO. AGUAZUL Y TAURAMENA;MPIO. PTO. LÓPEZ Y PTO. GAITÁN;RÍO CUSIANA;CAÑO BUJUMENA Y CAÑADA DEL COROZO;-72-1604619711126;4-59657329094728;Sin Informacion de Barrios;Campanero- Chavinabe-  El Amparo-  El Socorro-  Guafal-  La Bebea-  La Guinea-  La LLanerita-  Macuco-  Santa Maria
54;NORTE DE SANTANDER;54001;CUCUTA;540,003;Urbano;AK LOS LIBERTAD;DG SANTANDER E;AK LOS LIBETAD;AK  7;-72-49440776351;7-90342715584001;Ceiba 2- Ciudad Jardín- Colsag- Condado de Castilla- El Bosque- Govica- Gratamira- Guaimaral- La Capillana- La Castellana- La Ceiba- La Merced- La Riviera- Las Almeidas- Lleras Restrepo- Los Acacios- Los Pinos- Manolo Lemus- Paraíso- Parque de Las Brisas-;Sin Informacion de Veredas
73;TOLIMA;73861;VENADILLO;730,588;Rural;MPIO. LÉRIDA Y AMBALEMA;MPIO. ALVARADO Y PIEDRAS;MUNICIPIO BELTRÁN;VÍA LÉRIDA-ALVARADO;-74-8723764664633;4-6884956611911;Sin Informacion de Barrios;Calda Viejo- El Barro-  La Argelia-  Limones-  Palmar Alto
19;CAUCA;19532;PATIA;195,501;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-76-9823119536249;2-1171763101799;Sin Informacion de Barrios;Sin Informacion de Veredas
25;CUNDINAMARCA;25181;CHOACHI;251,628;Rural;MUNICIPIO LA CALERA;MUNICIPIO FOMEQUÉ;MUNICIPIO FOMEQUÉ;RÍO NEGRO;-73-8651359176158;4-59258960753817;Sin Informacion de Barrios;CABANA
5;ANTIOQUIA;05607;RETIRO;55,438;Rural;QUEBRADA AGUDELO;MUNICIPIO MONTEBELLO;QUEBRADA AGUDELO;MUNICIPIO CALDAS;-75-5335599547113;6-02228603828115;Sin Informacion de Barrios;El Barcino- La Honda-  La Hondita-  La Luz-  Los Medio-  Nazareth
15;BOYACA;15204;COMBITA;150,201;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-73-3238933996278;5-63431673116094;Sin Informacion de Barrios;Cabecera Municipal
19;CAUCA;19760;SOTARA;193,507;Rural;MUNICIPIO POPAYÁN;RÍO (PERMANENTE);MUNICIPIO PURACÉ;MPIO. TIMBÍO Y ROSAS;-76-6042219054488;2-28797628678853;Sin Informacion de Barrios;Avanzada- Cristalares-  El Boqueron-  El Encenillo-  El Placer-  El Retiro-  La Honda-  La Laguna-  La Marthica-  La Rivera-  Las Cruces I-  Las Cruces II-  Las Yescas-  Los Robles-  Sachacoco
11;BOGOTA- D.C.;11001;LOCALIDAD PUENTE ARANDA;111,611;Urbano;DG  22A;AC  3;AK  30;AK  68;-74-1056586415883;4-62393853582944;Barcelona- Batallón Caldas- Centro Industrial- Colón- Comuneros- Cundinamarca- El Ejido- Estación Central- Gorgonzola- Industrial Centenario- La Florida Occidental- La Pradera- La Trinidad- Los Ejidos- Ortezal- Pensilvania- Primavera Occidental- Puente Ar;Sin Informacion de Veredas
15;BOYACA;15763;SOTAQUIRA;150,428;Rural;MPIO. GAMBITA Y PAIPA;RÍO ARCABUCO Y ACUSA;QUEBRADA HONDA;MPIO. COMBITA Y GAMBITA;-73-2714196757897;5-79841055189371;Sin Informacion de Barrios;Angostura- Bosigas-  Chonquira-  Gaunza A-  Gaunza B-  Guaguani-  Monterredondo-  Montevargas-  Moral-  Salitre-  Siatoca-  Soconcusa in-  Sotaquira-  Tierra Negra-  Toma
5;ANTIOQUIA;05674;SAN VICENTE;54,017;Rural;MUNICIPIO BARBOSA;VÍA SAN VICENTE - CONCEPCION;MUNICCIPIO CONCEPCION;MUNICIPIO GUAME;-75-3465547959654;6-32923498419103;Sin Informacion de Barrios;Alto La Compañia- Cabecera Municipal-  Cantor-  El Calvario-  El Guadro-  El Perpetuo Socorro-  El Porvenir-  El Potrero-  La Enea-  La Magdalena-  La Travesia-  San Antonio la Compañia-  San Cristobal-  San Ignacio-  San Nicolas
52;NARIÑO;52233;CUMBITARA;526,567;Rural;MUNICIPIO POLICARPA;MUNICIPIO LOS ANDES;MUNICIPIO POLICARPA;RÍO (PERMANENTE);-77-5315769074143;1-64783094574824;Sin Informacion de Barrios;La Herradura- Llano Verde-  Pizanda-  Tabiles
85;CASANARE;85225;NUNCHIA;851,078;Rural;VÍA YOPAL-PORE Y MPIO. PORE;MPIO. SAN LUIS DE PALENQUE;M. SAN L. DE PALENQUE Y PORE;MUNICIPIO YOPAL;-72-0500895611412;5-4885128730777;Sin Informacion de Barrios;Barquereña- Barquereña-  Barranquilla-  Brisas del Pauto-  Cañas-  Caño Hondo-  Caucho-  Cazadero-  Corea-  El Banco-  El Playón-  El Taladro-  El Verde-  Garrancho-  Gaviotas-  Guacharacas-  La Chaparrera-  Las Calles-  Los Jagueyes-  Macuco-  Matalarga-
15;BOYACA;15109;BUENAVISTA;154,840;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-73-9426097667913;5-51283352598341;Sin Informacion de Barrios;Sin Informacion de Veredas
23;CORDOBA;23001;MONTERIA;230,004;Urbano;CL  9;LIMITE URBANO;LIMITE URBANO;RIO SINÚ;-75-8898719313968;8-73132064569631;1 de Mayo- 2 de Septiembre- Alfonso Lopez- Andalucía- Boston- Brisas del Sinú- Colina Real- Edmundo López- Edmundo López II- El Paraíso- El Prado- El Tendal- Furatena- Galilea- La Campiña- La Candelaria- La Coquera- La Granja- Las Colinas (El Cerro)- Los;El Prado
73;TOLIMA;73347;HERVEO;731,548;Rural;M. MARULANDA Y MANZANARES;RÍO AGUACATAL;MUNICIPIO FRESNO;MUNICIPIO MARULANDA;-75-2341059029559;5-10880037249598;Sin Informacion de Barrios;Sin Informacion de Veredas
23;CORDOBA;23162;CERETE;230,558;Rural;LIMITE URBANO Y RÍO (PERMANENTE);MPIO. MONTERIA Y SAN CARLOS;MPIO. SAN CAR. Y CAÑO VIE. DE MARTÍ.;RÍO SINÚ;-75-7992572597541;8-85050890916125;Sin Informacion de Barrios;Aguasnegras- El Obligado-  Garzones-  Las Babillas
25;CUNDINAMARCA;25154;CARMEN DE CARUPA;250,427;Rural;MUNICIPIO BUENAVISTA;VIA UBATÉ-BOCAMONTE;MPIO. SUSA Y UBATÉ;MPIO. COPER Y SAN CAYETANO;-73-9117352826881;5-38515403279223;Sin Informacion de Barrios;EL SALITRE- NAZARETH-  SANTA DORA
68;SANTANDER;68418;LOS SANTOS;684,001;Urbano;CL 1;CL 7A;ARAMAL;KR 11;-73-102043482203;6-75587866653927;Sin Informacion de Barrios;Sin Informacion de Veredas
86;PUTUMAYO;86573;LEGUIZAMO;864,008;Rural;MPIO. SOLANO Y Q/DA. PEINILLA;PAÍS PERÚ;MPIO. SOLANO Y RÍO (PERMANENTE);Q. COMAJI.- PEINILLA Y RÍO (PERMANENTE);-74-960049691715;0-0591781811726833;Sin Informacion de Barrios;Sin Informacion de Veredas
86;PUTUMAYO;86755;SAN FRANCISCO;861,008;Rural;VÍA SAN FCO.-VILLAGARZÓN Y M. SIBUNDOY;MUNICIPIO SANTIAGO;MUNICIPIO MOCOA;MUNICIPIO SANTIAGO;-76-8573023249803;1-09032457914793;Sin Informacion de Barrios;Sin Informacion de Veredas
19;CAUCA;19142;CALOTO;191,077;Rural;VÍA S/DER. DE QUILICHAO-NATALA;M. S. DE QUILICHAO Y JAMBALÓ;M. JAMBALÓ Y TORIBÍO;MPIO. S. DE QUILICHAO;-76-3720123908878;2-99898253298778;Sin Informacion de Barrios;Altamira- Campo Alegre-  Carpintero-  Dominga Alta-  El Arrayán-  El Chocho-  El Poblado-  El Socorro-  Guadualito-  Guataba-  Huellas-  La Buitrera-  La Estrella-  La Guinea-  La Palma-  La Pila-  La Placa-  Loma Gruesa-  Loma Pelada-  Los Chorros-  Los
11;BOGOTA- D.C.;11001;LOCALIDAD CHAPINERO;110,221;Urbano;AC 100;AC 72;LIMITE URBANO;AU NORTE;-74-0448120730708;4-66392271796576;Antiguo Country- Bellavista- Chicó Norte- Chicó Norte II Sector- Chicó Norte III Sector- El Bagazal- El Chicó- El Nogal- El Refugio- El Retiro- Espartillal- La Cabrera- Lago Gaitán- Los Rosales- Porciuncula- Seminario;Sin Informacion de Veredas
19;CAUCA;19821;TORIBIO;192,007;Rural;MUNICIPIO CORINTO;RÍO PALO;RÍO (PERMANENTE);MUNICIPIO CALOTO;-76-1822745133024;3-04477230296715;Sin Informacion de Barrios;Alto de la Cruz- Aso Madero-  Buenavista-  El Galvial-  Flayo-  Gallinazas-  Huila-  La Calera-  La Capilla-  La Fonda-  La Luz-  La Susana-  La Tolda-  Loma de Paja-  Potrero-  San Diego-  Soto-  Triunfo
20;CESAR;20013;AGUSTIN CODAZZI;202,057;Rural;MUNICIPIO LA PAZ;MUNICIPIO BECERRIL;PAÍS VENEZUELA;VÍA SAN DIEGO-BECERRIL;-73-0922698720736;9-99586979220976;Sin Informacion de Barrios;Sin Informacion de Veredas
68;SANTANDER;68573;PUERTO PARRA;686,007;Rural;M. YONDO Y B/BERMEJA.;MUNICIPIO CIMITARRA;M. SIMACOTA Y Q/DA. LA EME;MUNICIPIO CIMITARRA;-74-0197482974258;6-7378126935281;Sin Informacion de Barrios;Caño Viejo- Carare-  Cienaga del Opon-  La Ganadera-  Los Morros
73;TOLIMA;73055;ARMERO;732,067;Rural;MPIO. MARIQUITA Y HONDA;RÍO GUAMO;MUNICIPIO HONDA;MUNICIPIO FALÁN;-74-845544236599;5-07907625174357;Sin Informacion de Barrios;Sin Informacion de Veredas
76;VALLE DEL CAUCA;76041;ANSERMANUEVO;762,017;Rural;M. EL AGUILA Y BALBOA;MPIO. CARTAGO Y PEREIRA;MUNICIPIO PEREIRA;VÍA CARTA.-ANSERMA. Y RÍO CATARINA;-75-9765648812352;4-83538590527303;Sin Informacion de Barrios;Real Brillante
95;GUAVIARE;95015;CALAMAR;953,008;Rural;RÍO ITILLA Y (PERMANENTE);RÍO TUNIA O MACAYÁ;RÍO ITILLA;RÍO (PERMANENTE);-72-9059229669334;1-72215278315468;Sin Informacion de Barrios;Sin Informacion de Veredas
15;BOYACA;15776;SUTAMARCHAN;153,867;Rural;MUNICIPIO SANTA SOFIA;MPIO. TINJACA Y RAQUIRA;MPIO. VILLA DE LEYVA Y SACHICA;MPIO. SABOLLA Y TINJACA;-73-6245024972328;5-64113920182876;Sin Informacion de Barrios;Sin Informacion de Veredas
91;AMAZONAS;91530;PUERTO ALEGRIA;913,057;Rural;MPIO. LEGUIZAMO Y SOLANO;MUNICIPIO EL ENCANTO;MUNICIPIO LA CHORRERA;PAÍS PERÚ;-73-7496139314023;-0-968869551375406;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05001;MEDELLIN;50,035;Urbano;QUEBRADA  LA IGUANA;CL 47D- 48A Y 48;KR  80;LIMITE URBANO;-75-6073040203098;6-26716467294892;Area de Expansión San Cristóbal- Blanquizal- Calasanz- Calasanz Parte Alta- El Pesebre- Ferrini- Juan XXIII La Quiebra- La Pradera- Los Alcázares- Metropolitano- Olaya Herrera- Santa Rosa de Lima;Área de Expansión San Cristóbal
76;VALLE DEL CAUCA;76400;LA UNION;761,540;Urbano;CL 25A;CL 8;LIMITE URBANO;LIMITE URBANO;-76-1026344474222;4-53495893558204;Bellavista- Bellavista- Belén- Ciudadela Grajales- El Carmen- El Jardín- El Prado- Fátima- Las Brisas- Las Lajas- Popular- San Pedro;Aguada- Cabecera Municipal-  Campesina-  El Rincón-  Martindosa-  Pajas de Oro-  San Miguel
68;SANTANDER;68160;CEPITA;682,061;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-72-9746456485645;6-75346232541489;Sin Informacion de Barrios;Sin Informacion de Veredas
25;CUNDINAMARCA;25662;SAN JUAN DE RIO SECO;253,258;Rural;MUNICIPIO CHAGUANÍ;MUNICIPIO BELTRÁN;M. RÍO SECO  DE LAS PALMAS;MPIO. AMBALEMA Y ARMERO;-74-7017455904873;4-89172121376754;Sin Informacion de Barrios;CAMBAO- CAPIRA-  EL LIMON-  HONDURAS-  La Aldea Danubio-  LA UNION-  LLANO DEL PLATANAL-  LOMA LARGA-  NUQUIA-  PUERTO CHAGUANI-  San Martin-  Santuario
27;CHOCO;27135;EL CANTON DEL SAN PABLO;272,040;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-76-7272428913593;5-33532846719294;Avenida Jiménez- Bahía Solano- Caracas- Divino Niño- Jiménez- Las Brisas- Miraflores- Pueblo Nuevo- San Antonio- Serpa Uribe- Villa del Prado- Vírgen del Carmen;Sin Informacion de Veredas
68;SANTANDER;68820;TONA;680,548;Rural;RÍO TONA- (PERMA.) Y Q/DA. ARENALES;M. PIEDECUESTA Y STA. BÁRBARA;MUNICIPIO SILOS;M. F/BLANCA. Y B/MANGA.;-72-9324297554185;7-14219883419901;Sin Informacion de Barrios;Arnania- Babilonia-  Palmar-  Pirgua-  Pitones-  Tembladal-  Vegas
15;BOYACA;15762;SORA;154,040;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-73-4499349458983;5-56681616937209;Sin Informacion de Barrios;Sin Informacion de Veredas
23;CORDOBA;23670;SAN ANDRES SOTAVENTO;232,030;Urbano;LIMITE URBANO;LIMITE URBANO;KR 6;LIMITE URBANO;-75-5087170463532;9-14518270763904;Sin Informacion de Barrios;Sin Informacion de Veredas
5;ANTIOQUIA;05321;GUATAPE;53,840;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;KR 33;-75-1587446248664;6-23177817805959;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52254;EL PEÑOL;522,080;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-77-439788699554;1-45360072016928;Sin Informacion de Barrios;Cabecera Municipal- Charguayaco-  Peñol Viejo-  Perjil
73;TOLIMA;73268;ESPINAL;733,528;Rural;MUNICIPIO FLANDES;MUNICIPIO GUAMO;MUNICIPIO SUÁREZ;VÍA GIRARDOT-GUAMO;-74-8514960926224;4-13754169213945;Sin Informacion de Barrios;Canastos- Cardonal-  El Colegio-  Quinto Chipuelo-  Serrezuela Primavera-  Sucre
15;BOYACA;15325;GUAYATA;153,040;Urbano;CL 11;CL 1;KR 2;KR 7;-73-4901747957595;4-96679695918988;Sin Informacion de Barrios;Sin Informacion de Veredas
11;BOGOTA- D.C.;11001;LOCALIDAD BOSA;110,711;Urbano;CL  49 S;CL  59 S;KR  82B;KR  113;-74-1884917952318;4-6368612379797;Betania- Brasil- Brasilia- Cañaveralejo- Cañaveralejo Rural- Chicalá- El Corzo- El Corzo Rural- El Danubio Azul- El Portal del Brasil- Escocia- Escocia- La Cabaña- La Libertad- Osorio X- Osorio X Urbano- Osorio XXIII- Parcela El Porvenir- San Martín- Sant;Sin Informacion de Veredas
73;TOLIMA;73001;IBAGUE;730,010;Urbano;LIMITE URBANO Y KR 3;LIMITE URBANO;KR 1 Y CL 32;LIMITE URBANO;-75-2505890936748;4-43233085204298;Sin Informacion de Barrios;Cay Pyo- Chapaton Sector Rural-  El Cural-  El Gallo-  Pie de Cuesta las Maravillas-  Santa Teresa
23;CORDOBA;23815;TUCHIN;232,027;Rural;M. PALMITO SUCRE;M CHIMA Y S.ANDRES DE SOTAVENTO;M. S. ANDRES DE SOTAVENTO Y SINCELEJO;M. MOMIL Y CHIMA;-75-5449849360215;9-22351505332085;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52678;SAMANIEGO;526,040;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-77-5920810210282;1-33388162815521;Sin Informacion de Barrios;Sin Informacion de Veredas
8;ATLANTICO;08001;BARRANQUILLA;80,011;Urbano;C/TERA CORD. Y AC CALDAS;KR  1;CL 45 Y 51B;CL  90;-74-8098121521133;10-9463371042548;Cevillar- Kennedy- La Sierra- La Sierrita- La Victoria- Las Américas- Los Continentes- Santo Domingo de Guzmán;Sin Informacion de Veredas
