codigo_departamento;nombre_departamento;codigo_municipio;nombre_municipio;codigo_postal;tipo;limite_norte;limite_sur;limite_este;limite_oeste;longitud_centroide;latitud_centroide;barrios_contenidos_en_el_codigo_postal;veredas_contenidas_en_el_codigo_postal
23;CORDOBA;23570;PUEBLO NUEVO;233,001;Urbano;CL 25;CL 3;KR 5;KR 17;-75-5081902914649;8-50261272285792;Cementerio- El Carmen- El Centro- El Mango- El Pozo- El Prado- J.E. Gaitan- Juan XXIII- La Balsa- La Bomba- La Cruz- La Floresta- Lara Bonilla- Las Flores- Pueblecito- Ricardo Barrera;Sin Informacion de Veredas
68;SANTANDER;68162;CERRITO;681,501;Urbano;LIMITE URBANO;CL 10 SUR;KR 8A;KR 1;-72-6953135477714;6-84137383771292;Sin Informacion de Barrios;Sin Informacion de Veredas
23;CORDOBA;23580;PUERTO LIBERTADOR;234,037;Rural;MUNICIPIO MONTELIBANO;VÍA LA RICA-JUAN JOSÉ;VÍA LA RICA-PTO. LIBER. Y RÍO SAN PEDRO;MUNICIPIO MONTELIBANO;-75-7374742593562;7-90324293915921;Sin Informacion de Barrios;Córdoba- Francia Elena-  Villa Carmiña
52;NARIÑO;52079;BARBACOAS;528,067;Rural;MUNICIPIO MAGÜI;MUNICIPIO LOS ANDES;MUNICIPIO CUMBITARA;RÍO SAMBIAMBI Y RÍO (PERMANENTE);-77-7459152092376;1-77691938770653;Sin Informacion de Barrios;Sin Informacion de Veredas
18;CAQUETA;18860;VALPARAISO;185,050;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-75-705984611332;1-19608804248367;Sin Informacion de Barrios;Sin Informacion de Veredas
25;CUNDINAMARCA;25645;SAN ANTONIO DEL TEQUENDAMA;252,620;Urbano;KR 7;KR 1;CL 9;CL 1;-74-3518279716171;4-61607428374344;Sin Informacion de Barrios;LAGUNA GRANDE- PATIO DE BOLAS
23;CORDOBA;23855;VALENCIA;234,530;Urbano;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;LIMITE URBANO;-76-1499242481235;8-25721490263874;6 de Enero- Alfonso Lopez- El Centro- El Paraíso- El Rosario- Iván Rosales- Jaraguay- La Cruz- Nazareth- Ospina Pérez- Puerto Rico- San José- San Marcos- San Nicolás- Villa Serafina;Sin Informacion de Veredas
81;ARAUCA;81591;PUERTO RONDON;813,018;Rural;CAÑO MATEPALMA;MUNICIPIO HATO COROZAL;MUNICIPIO CRAVO NORTE;MUNICIPIO TAME;-70-9063891623026;6-35061803810936;Sin Informacion de Barrios;Alemania- El Cajaro-  El Guafal-  El Viso-  Las Cruces-  Las Plumas-  Miravalles-  Puerto Colombia-  San Pablo-  San Rafael-  Santa María del Casanare-  Veladero
52;NARIÑO;52427;MAGÜI;528,008;Rural;RÍO PATÍA;MUNICIPIO BARBACOAS;RÍO PATÍA;RÍO NANSALBÍ Y (PERMANENTE);-77-9873396315012;1-83194839731016;Sin Informacion de Barrios;Sin Informacion de Veredas
52;NARIÑO;52354;IMUES;523,028;Rural;MUNICIPIO GUAITARILLA;RÍO (PERMANENTE);MUNICIPIO YACUANQUER;M. TUQUERRES Y OSPINA;-77-5179354381006;1-08835551281715;Sin Informacion de Barrios;Alban- Bella Vista-  Campo Alegre-  Camuestes-  Casco Urbano-  Chapacual-  CHirristes-  Cuarchud-  El Alisal-  El Carmen-  El Tablón-  Imbued-  Imbued-  Manzano Las Nieves-  Minda-  Pescadillo-  Potachuelo-  San Isidro-  San Pedro-  San Sebastian-  Santa
25;CUNDINAMARCA;25258;EL PEÑON;254,020;Urbano;KR 0;KR 4;CL 1;CL 9;-74-2903938076087;5-24875235151001;Sin Informacion de Barrios;CENTRO
