nombre_comuna;barrio
COMUNA FERROCARRIL;PLUMON ALTO
COMUNA FERROCARRIL;PLUMON BAJO
COMUNA OLIMPICA;LA GLORIETA
COMUNA OLIMPICA;VILLA ALICIA
COMUNA OLIMPICA;ALCAZARES
COMUNA OLIMPICA;CAÊAVERAL
COMUNA OLIMPICA;SECTOR CC. UNICENTRO CUBA
COMUNA OLIMPICA;SENDEROS DE UNICENTRO
COMUNA OLIMPICA;RINCO DE UNICENTRO
COMUNA OLIMPICA;GAMMA I
COMUNA OLIMPICA;GAMMA I
COMUNA OLIMPICA;GAMMA III
COMUNA OLIMPICA;GAMMA IV
COMUNA OLIMPICA;GAMMA V
COMUNA OLIMPICA;PINAR DE GAMMA
COMUNA OLIMPICA;FEGOVE
COMUNA OLIMPICA;ALHAMBRA
COMUNA OLIMPICA;ALFA GAMMA
COMUNA OLIMPICA;OLIMPICO I
COMUNA OLIMPICA;OLIMPICO II
COMUNA OLIMPICA;JARDINES DE LA VILLA
COMUNA OLIMPICA;COLORES DE LA VILLA
COMUNA OLIMPICA;RESERVA DE LA VILLA
COMUNA DEL CAFE;CIUDAD BOQUIA
COMUNA DEL CAFE;VILLA DEL CAFE
COMUNA DEL CAFE;ALAMOS DE CAFE
COMUNA DEL CAFE;PAZ VERDE
COMUNA DEL CAFE;NUEVO HORIZONTE SECTOR A
COMUNA DEL CAFE;NUEVO HORIZONTE SECTOR B
COMUNA DEL CAFE;VILLA COMUNALES
COMUNA DEL CAFE;BLOQUES HORIZONTES
COMUNA DEL CAFE;ALTOS DE LOS ANGELES
COMUNA DEL CAFE;COMFAMILIAR I
COMUNA DEL CAFE;COMFAMILIAR II
COMUNA DEL CAFE;ALTOS DE LLANO GRANDE
COMUNA DEL CAFE;MALAGA
COMUNA DEL CAFE;PORTAL DE SAN LUIS
COMUNA CUBA;LA PLAYITA CUBA
COMUNA CUBA;BRISAS DEL CONSOTA
COMUNA CUBA;CORTES
COMUNA CUBA;SAN FERNANDO
COMUNA CUBA;LA INDEPENDENCIA
COMUNA CUBA;LA UNION
COMUNA SAN JOAQUIN;CRUCERO DE CUBA
COMUNA SAN JOAQUIN;LENINGRADO II
COMUNA SAN JOAQUIN;LENINGRADO III
COMUNA SAN JOAQUIN;SIMON BOLIVAR
COMUNA SAN JOAQUIN;CONQUISTADORES
COMUNA SAN JOAQUIN;CAMPO ALEGRE
COMUNA SAN JOAQUIN;CRUCERO
COMUNA SAN JOAQUIN;PERLA DEL SUR
COMUNA ROCIO;CARACOL LA CURVA
COMUNA ROCIO;ROCIO_BAJO
COMUNA ROCIO;ROCIO ALTO
COMUNA ROCIO;LA PLAYA
COMUNA VILLA SANTANA;EL DANUBIO
COMUNA VILLA SANTANA;SAN VICENTE
COMUNA VILLA SANTANA;NUEVO_PLAN
COMUNA VILLA SANTANA;INTERMEDIO (V/SANTANA)
COMUNA VILLA SANTANA;MONSERRATE
COMUNA VILLA SANTANA;VERACRUZ
COMUNA VILLA SANTANA;LOS CRISTALES
COMUNA VILLA SANTANA;JAIME PARDO LEAL
COMUNA VILLA SANTANA;OLIMPIA
COMUNA VILLA SANTANA;ALBANIA
COMUNA VILLA SANTANA;TERRANOVA
COMUNA VILLA SANTANA;LA ACURELA
COMUNA VILLA SANTANA;LA FLORESTA
COMUNA VILLA SANTANA;LA HABANA I
COMUNA VILLA SANTANA;LA HABANA II
COMUNA VILLA SANTANA;SANTAFE
COMUNA VILLA SANTANA;ACUARIO
COMUNA VILLA SANTANA;LA ISLA
COMUNA VILLA SANTANA;EL OSO
COMUNA VILLA SANTANA;CISNES
COMUNA VILLA SANTANA;SANTA INES
COMUNA PERLA DEL OTUN;LA ALBANIA
