nombre_comuna;barrio
COMUNA BOSTON;TERMINAL
COMUNA BOSTON;LA UNIDAD
COMUNA BOSTON;CIUDAD PEREIRA
COMUNA BOSTON;LA ARBOLEDA
COMUNA BOSTON;GUADUALES DE CANAAN
COMUNA BOSTON;CAMINOS DE CANAAN
COMUNA CENTRO;SAN ESTEBAN
COMUNA CENTRO;SECTOR PLAZA DE BOLIVAR
COMUNA CENTRO;PRIMERO DE FEBRERO
COMUNA CENTRO;SECTOR GALERIA CENTRAL
COMUNA CENTRO;SECTOR PARQUE LA LIBERTAD
COMUNA CENTRO;BLOQUES PRIMERO DE FEBRERO
COMUNA CENTRO;TURIN
COMUNA CENTRO;VENECIA
COMUNA CENTRO;LOS PERIODISTAS
COMUNA CENTRO;LA VICTORIA
COMUNA CENTRO;SECTOR 30 DE AGOSTO
COMUNA CENTRO;LOS NOGALES 
COMUNA CENTRO;SECTOR PARQUE EL LAGO
COMUNA SAN NICOLAS;LAS ANTILLAS
COMUNA SAN NICOLAS;NUEVO MEJICO
COMUNA SAN NICOLAS;SAN NICOLAS
COMUNA SAN NICOLAS;VILLA MERY
COMUNA SAN NICOLAS;BRISAS DE LAS AMERICAS
COMUNA SAN NICOLAS;VILLA NOHEMY
COMUNA SAN NICOLAS;SAN MARTIN DE LA LOBA
COMUNA SAN NICOLAS;LA DULCERA
COMUNA FERROCARRIL;EL PLUMON
COMUNA FERROCARRIL;LA HACIENDA
COMUNA FERROCARRIL;TORRES DE SAN MATEO
COMUNA FERROCARRIL;PLUMON ALTO
COMUNA FERROCARRIL;PLUMON BAJO
COMUNA FERROCARRIL;SURESTE DE LA SIEMBRA
COMUNA FERROCARRIL;GABRIAL TRUJILLO
COMUNA FERROCARRIL;JOSE HILARIO LOPEZ
COMUNA FERROCARRIL;LA LIBERTAD
COMUNA FERROCARRIL;MATECAãA
COMUNA FERROCARRIL;NACEDEROS
COMUNA FERROCARRIL;PORTAL DE LA VILLA
COMUNA FERROCARRIL;ESPERANZA
COMUNA SAN JOAQUIN;ALTOS DE CORALES
COMUNA SAN JOAQUIN;ATENAS
